,tweets
0,['The assistance aid from Pakistan still in the process\nThe Pakistani plane C-130 arrived at Khost Airport consisting of assistance aid. The assistance aids were delivered to the ministry of refugees by the Pakistan Embassy in Kabul.\n#Afghanistan #Pakistan #AfghanistanEarthquake https://t.co/D9wYo5KDJy']
1,"['[#Update]\n\nToday, a C-130 of #Pakistan dropped off relief supplies for #earthquake victims in #Afghanistan at the airport in Khost,  The Hon. Afghan Minister of Refugees received the relief supplies from an officer of the Pakistani Embassy in Kabul (@PakinAfg) https://t.co/ztijANHDR7']"
2,"[""@markgoodair @BordersBill2022 @JasonJby100 @kevinma02678153 @Sarcasm21664242 @Anatadaephobia @Cuidad10 @rec777777 @markapostolou0 @Stephen1010102 @teeheeonlyme @BerkshireTory @campbellclaret @DominicRaab @Refugees @BBCNews @Conservatives @BorisJohnson Andy Burnham Harbour's them ❗❗ Predominantly Pakistani grooming gang's https://t.co/NloPTTOwXf""]"
3,"['Welcome to add: This man is a disgrace. He &amp; his Labour party only care about voting numbers to get into power. They believe the shakey leftwing voters want more strikes, more refugees, more taxes, more lockdowns, more EU control &amp; more pakistani grooming council members! https://t.co/Qn3KBhBbL7']"
4,['@Klaus_Arminius Like the Turkey-Iran border. Thousands of Pakistani Afghan refugees cross the Iranian border to Turkey in greater numbers than this.']
5,"[""@kochiyanoameerA Besides Pakistan can't even provide basic goods and services to it's own people. 700K refugees cost the Pakistani taxpayer $3.2 billion every 3 years. Why spend money we don't have on thankless people?""]"
6,"['@Kulwind68372501 @SecKermani @jindisinghka 1. Sikh gurus fought wars protecting cows - gau mata is as much associated with sikhi as with Hindus\n2. Canada did nothing for Sikh refugees. UK sending refugees to Rwanda. US, NO!\n4. Oppose them Islamists, afghans, ISIS and not India\n3. If you are a Pakistani bot - PKMKB, KKMKB https://t.co/2kQ4vvMDZ8']"
7,"[""@Muhammad_Najjar We don't want Syrian/Afghan/Pakistani refugees and their shitty culture in our country. That's it""]"
8,['@NCTMKS @RTErdogan @enveryan Somalians Pakistani afgans are all muslims and victims of human trafficking. Economic refugees also . They are happy in a Muslim country like Turkey. Must avoid the cruel Christians of Greece.']
9,"[""@Milo_Silvestri @mishtal All refugees around the world are treated by UNHCR, not by a special agency. Cypriot refugees can't return to Northern Cyprus, German refugees can't return to Sudetenland, Pakistani refugees to Kashmir etc etc etc (many examples) because right of return isn't mandatory""]"
10,"[""@markgoodair @Stephen1010102 @teeheeonlyme @rec777777 @BerkshireTory @Anatadaephobia @kevinma02678153 @BordersBill2022 @campbellclaret @DominicRaab @Refugees @BBCNews @Conservatives @BorisJohnson Funny isn't it how you mention him as a conservative MP yet when we say anything about the Predominantly Pakistani grooming gangs who Rape Children you quote us as being Racist, Remind me of his name again please ❓ https://t.co/G5rQLBc9RE""]"
11,"[""@Bolandoy I said the same thing is happening in Afghanistan and it triggered u.Your agenda will never work in Pakistan😂🤭Kabuliye.\nsome refugees think by living in Pakistan they became Pakistani😏 \nI'm sorry to say that your agenda could have worked until 2000, not now, it's too late😂""]"
12,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
13,"[""@secretsqrl123 @shadesisla @KhorneFlakes88 @DefMon3 Russia's shrinking, but EU's growing only b'cos of a large influx of Arab, India, Pakistani refugees. In some EU countries, local populations have been displaced by immigrants. In the foreseeable future, your son or grandson will become an Imam. \nAllah hu Akbar!!\nGood luck!\n😝😝""]"
14,"[""@fhzadran @FayrouzTawfik It was armyschool only Pakistani nationals can enter army\n\nDon't tell me I didn'tsaw namakHarams refugees living in Peshawar hayatabad didn't cheer and celebrate on the schoolattack\n\nIfyou mean pashtuns are your own people thenyou afghanis wouldn't  celebrated on death of ur own""]"
15,"['The #Taliban’s recent border skirmishes with Iranian and #Pakistani authorities have added to the struggles of #Afghans seeking refuge. Both neighbouring countries fear an influx of refugees and the export of extremism, states @RheaSinha12 https://t.co/m7w6jJha0T']"
16,['@ShireenMazari1 Afghan Taliban in Pakistan trained by that fucking army and after that those jihadies turned out against Pakistan.  In fact the Black December massacre of Palestinian refugees in Jordanian refugee camps was led by the  Pakistani general Zia ul Haq.']
